"index","Name","leftX","topY","rightX","bottomY","pageNo","lineNumber","RightMargin","LeftMargin","TopMargin","BottomMargin","RightMarginRelative","LeftMarginRelative","TopMarginRelative","BottomMarginRelative","PositionOnLine","PageHeight","PageWidth","LineSize","HasDate","level","block_num","par_num","line_num","word_num","VerticalPositionRelative","HorizontalPositionRelative","linewhitespace","TextPatterns","fileName","filePath","fileRefNum","TOP_index","TOP_Name","TOP_leftX","TOP_topY","TOP_rightX","TOP_bottomY","TOP_RightMargin","TOP_LeftMargin","TOP_TopMargin","TOP_BottomMargin","TOP_RightMarginRelative","TOP_LeftMarginRelative","TOP_TopMarginRelative","TOP_BottomMarginRelative","TOP_PositionOnLine","TOP_PageHeight","TOP_PageWidth","TOP_LineSize","TOP_HasDate","TOP_VerticalPositionRelative","TOP_HorizontalPositionRelative","TOP_linewhitespace","BOTTOM_Name","BOTTOM_index","BOTTOM_leftX","BOTTOM_topY","BOTTOM_rightX","BOTTOM_bottomY","BOTTOM_RightMargin","BOTTOM_LeftMargin","BOTTOM_TopMargin","BOTTOM_BottomMargin","BOTTOM_RightMarginRelative","BOTTOM_LeftMarginRelative","BOTTOM_TopMarginRelative","BOTTOM_BottomMarginRelative","BOTTOM_PositionOnLine","BOTTOM_PageHeight","BOTTOM_PageWidth","BOTTOM_LineSize","BOTTOM_HasDate","BOTTOM_VerticalPositionRelative","BOTTOM_HorizontalPositionRelative","BOTTOM_linewhitespace","LEFT_Name","LEFT_index","LEFT_leftX","LEFT_topY","LEFT_rightX","LEFT_bottomY","LEFT_RightMargin","LEFT_LeftMargin","LEFT_TopMargin","LEFT_BottomMargin","LEFT_RightMarginRelative","LEFT_LeftMarginRelative","LEFT_TopMarginRelative","LEFT_BottomMarginRelative","LEFT_PositionOnLine","LEFT_PageHeight","LEFT_PageWidth","LEFT_LineSize","LEFT_HasDate","LEFT_VerticalPositionRelative","LEFT_HorizontalPositionRelative","LEFT_linewhitespace","RIGHT_Name","RIGHT_index","RIGHT_leftX","RIGHT_topY","RIGHT_rightX","RIGHT_bottomY","RIGHT_RightMargin","RIGHT_LeftMargin","RIGHT_TopMargin","RIGHT_BottomMargin","RIGHT_RightMarginRelative","RIGHT_LeftMarginRelative","RIGHT_TopMarginRelative","RIGHT_BottomMarginRelative","RIGHT_PositionOnLine","RIGHT_PageHeight","RIGHT_PageWidth","RIGHT_LineSize","RIGHT_HasDate","RIGHT_VerticalPositionRelative","RIGHT_HorizontalPositionRelative","RIGHT_linewhitespace"
1,"GST",917,381,968.0697674418604,409,0,0,"0.3904","0.3698","0.1086","0.1166","0.0069","",,"0.0359","0.0000","3508","2480",9,0,,,,,,,"","0.7210","XXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"Consigner(Despatching",16,927.4883720930233,535,1220.5116279069766,573,"0.4921","0.3740","0.1525","0.1633","0.0056","0.2647",,"0.0014","0.6000","3508","2480",5,0,,"0.9792","0.7294",,,,,,,,,,,,"",,,,,,,,,,,"TAX",2,985.0930232558139,381,1036.1627906976744,409,"0.4178","0.3972","0.1086","0.1166","0.0069","0.0069",,"0.0359","0.1111","3508","2480",9,0,,"0.5000","0.7210"
2,"TAX",985.0930232558139,381,1036.1627906976744,409,0,0,"0.4178","0.3972","0.1086","0.1166","0.0069","0.0069",,"0.0359","0.1111","3508","2480",9,0,,,,,,,"0.5000","0.7210","XXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"Consigner(Despatching",16,927.4883720930233,535,1220.5116279069766,573,"0.4921","0.3740","0.1525","0.1633","0.0056","0.2647",,"0.0014","0.6000","3508","2480",5,0,,"0.9792","0.7294","GST",1,917,381,968.0697674418604,409,"0.3904","0.3698","0.1086","0.1166","0.0069","",,"0.0359","0.0000","3508","2480",9,0,,"","0.7210","INVOICE",3,1053.1860465116279,381,1172.3488372093022,409,"0.4727","0.4247","0.1086","0.1166","0.0069","0.0069",,"0.0359","0.2222","3508","2480",9,0,,"0.5000","0.7210"
3,"INVOICE",1053.1860465116279,381,1172.3488372093022,409,0,0,"0.4727","0.4247","0.1086","0.1166","0.0069","0.0069",,"0.0359","0.2222","3508","2480",9,0,,,,,,,"0.5000","0.7210","XXXXXXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"Consigner(Despatching",16,927.4883720930233,535,1220.5116279069766,573,"0.4921","0.3740","0.1525","0.1633","0.0056","0.2647",,"0.0014","0.6000","3508","2480",5,0,,"0.9792","0.7294","TAX",2,985.0930232558139,381,1036.1627906976744,409,"0.4178","0.3972","0.1086","0.1166","0.0069","0.0069",,"0.0359","0.1111","3508","2480",9,0,,"0.5000","0.7210","CUM",4,1189.3720930232557,381,1240.4418604651162,409,"0.5002","0.4796","0.1086","0.1166","0.0069","0.0069",,"0.0359","0.3333","3508","2480",9,0,,"0.5000","0.7210"
4,"CUM",1189.3720930232557,381,1240.4418604651162,409,0,0,"0.5002","0.4796","0.1086","0.1166","0.0069","0.0069",,"0.0359","0.3333","3508","2480",9,0,,,,,,,"0.5000","0.7210","XXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"Consigner(Despatching",16,927.4883720930233,535,1220.5116279069766,573,"0.4921","0.3740","0.1525","0.1633","0.0056","0.2647",,"0.0014","0.6000","3508","2480",5,0,,"0.9792","0.7294","INVOICE",3,1053.1860465116279,381,1172.3488372093022,409,"0.4727","0.4247","0.1086","0.1166","0.0069","0.0069",,"0.0359","0.2222","3508","2480",9,0,,"0.5000","0.7210","PACKING",5,1257.4651162790697,381,1376.627906976744,409,"0.5551","0.5070","0.1086","0.1166","0.0069","0.0069",,"0.0359","0.4444","3508","2480",9,0,,"0.5000","0.7210"
5,"PACKING",1257.4651162790697,381,1376.627906976744,409,0,0,"0.5551","0.5070","0.1086","0.1166","0.0069","0.0069",,"0.0359","0.4444","3508","2480",9,0,,,,,,,"0.5000","0.7210","XXXXXXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"Warehouse)",17,1234.4651162790697,535,1374,573,"0.5540","0.4978","0.1525","0.1633","","0.0056",,"0.2377","0.8000","3508","2480",5,0,,"","0.7294","CUM",4,1189.3720930232557,381,1240.4418604651162,409,"0.5002","0.4796","0.1086","0.1166","0.0069","0.0069",,"0.0359","0.3333","3508","2480",9,0,,"0.5000","0.7210","LIST",6,1393.6511627906975,381,1461.7441860465115,409,"0.5894","0.5620","0.1086","0.1166","0.0069","0.0069",,"","0.5556","3508","2480",9,0,,"0.5000","0.7210"
6,"LIST",1393.6511627906975,381,1461.7441860465115,409,0,0,"0.5894","0.5620","0.1086","0.1166","0.0069","0.0069",,"","0.5556","3508","2480",9,0,,,,,,,"0.5000","0.7210","XXXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"PACKING",5,1257.4651162790697,381,1376.627906976744,409,"0.5551","0.5070","0.1086","0.1166","0.0069","0.0069",,"0.0359","0.4444","3508","2480",9,0,,"0.5000","0.7210","FOR",7,1478.767441860465,381,1529.8372093023254,409,"0.6169","0.5963","0.1086","0.1166","0.0069","0.0069",,"","0.6667","3508","2480",9,0,,"0.5000","0.7210"
7,"FOR",1478.767441860465,381,1529.8372093023254,409,0,0,"0.6169","0.5963","0.1086","0.1166","0.0069","0.0069",,"","0.6667","3508","2480",9,0,,,,,,,"0.5000","0.7210","XXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"LIST",6,1393.6511627906975,381,1461.7441860465115,409,"0.5894","0.5620","0.1086","0.1166","0.0069","0.0069",,"","0.5556","3508","2480",9,0,,"0.5000","0.7210","EXPORT",8,1546.860465116279,381,1649,409,"0.6649","0.6237","0.1086","0.1166","0.0589","0.0069",,"","0.7778","3508","2480",9,0,,"0.1044","0.7210"
8,"EXPORT",1546.860465116279,381,1649,409,0,0,"0.6649","0.6237","0.1086","0.1166","0.0589","0.0069",,"","0.7778","3508","2480",9,0,,,,,,,"0.1044","0.7210","XXXXXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"FOR",7,1478.767441860465,381,1529.8372093023254,409,"0.6169","0.5963","0.1086","0.1166","0.0069","0.0069",,"","0.6667","3508","2480",9,0,,"0.5000","0.7210","Page",9,1795,376,1874.2,421,"0.7557","0.7238","0.1072","0.1200","","0.0589",,"","0.8889","3508","2480",9,0,,"","0.7210"
9,"Page",1795,376,1874.2,421,0,0,"0.7557","0.7238","0.1072","0.1200","","0.0589",,"","0.8889","3508","2480",9,0,,,,,,,"","0.7210","Xxxx","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"EXPORT",8,1546.860465116279,381,1649,409,"0.6649","0.6237","0.1086","0.1166","0.0589","0.0069",,"","0.7778","3508","2480",9,0,,"0.1044","0.7210",,,,,,,,,,,"",,,,,,,,,,,
10,"IRN",183,460,229.3972602739726,491,0,1,"0.0925","0.0738","0.1311","0.1400","0.0062","",,"0.0134","0.0000","3508","2480",3,0,,,,,,,"","0.5697","XXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"Exporter",13,158,538,271,572,"0.1093","0.0637","0.1534","0.1631","0.2028","","0.0134","0.0020","0.0000","3508","2480",5,0,"0.8704","","0.7294",,,,,,,,,,,,"",,,,,,,,,,,"NO",11,244.8630136986301,460,275.7945205479452,491,"0.1112","0.0987","0.1311","0.1400","0.0187","0.0062",,"0.0134","0.3333","3508","2480",3,0,,"0.2500","0.5697"
