"index","Name","leftX","topY","rightX","bottomY","pageNo","lineNumber","RightMargin","LeftMargin","TopMargin","BottomMargin","RightMarginRelative","LeftMarginRelative","TopMarginRelative","BottomMarginRelative","PositionOnLine","PageHeight","PageWidth","LineSize","HasDate","level","block_num","par_num","line_num","word_num","VerticalPositionRelative","HorizontalPositionRelative","linewhitespace","TextPatterns","fileName","filePath","fileRefNum","TOP_index","TOP_Name","TOP_leftX","TOP_topY","TOP_rightX","TOP_bottomY","TOP_RightMargin","TOP_LeftMargin","TOP_TopMargin","TOP_BottomMargin","TOP_RightMarginRelative","TOP_LeftMarginRelative","TOP_TopMarginRelative","TOP_BottomMarginRelative","TOP_PositionOnLine","TOP_PageHeight","TOP_PageWidth","TOP_LineSize","TOP_HasDate","TOP_VerticalPositionRelative","TOP_HorizontalPositionRelative","TOP_linewhitespace","BOTTOM_Name","BOTTOM_index","BOTTOM_leftX","BOTTOM_topY","BOTTOM_rightX","BOTTOM_bottomY","BOTTOM_RightMargin","BOTTOM_LeftMargin","BOTTOM_TopMargin","BOTTOM_BottomMargin","BOTTOM_RightMarginRelative","BOTTOM_LeftMarginRelative","BOTTOM_TopMarginRelative","BOTTOM_BottomMarginRelative","BOTTOM_PositionOnLine","BOTTOM_PageHeight","BOTTOM_PageWidth","BOTTOM_LineSize","BOTTOM_HasDate","BOTTOM_VerticalPositionRelative","BOTTOM_HorizontalPositionRelative","BOTTOM_linewhitespace","LEFT_Name","LEFT_index","LEFT_leftX","LEFT_topY","LEFT_rightX","LEFT_bottomY","LEFT_RightMargin","LEFT_LeftMargin","LEFT_TopMargin","LEFT_BottomMargin","LEFT_RightMarginRelative","LEFT_LeftMarginRelative","LEFT_TopMarginRelative","LEFT_BottomMarginRelative","LEFT_PositionOnLine","LEFT_PageHeight","LEFT_PageWidth","LEFT_LineSize","LEFT_HasDate","LEFT_VerticalPositionRelative","LEFT_HorizontalPositionRelative","LEFT_linewhitespace","RIGHT_Name","RIGHT_index","RIGHT_leftX","RIGHT_topY","RIGHT_rightX","RIGHT_bottomY","RIGHT_RightMargin","RIGHT_LeftMargin","RIGHT_TopMargin","RIGHT_BottomMargin","RIGHT_RightMarginRelative","RIGHT_LeftMarginRelative","RIGHT_TopMarginRelative","RIGHT_BottomMarginRelative","RIGHT_PositionOnLine","RIGHT_PageHeight","RIGHT_PageWidth","RIGHT_LineSize","RIGHT_HasDate","RIGHT_VerticalPositionRelative","RIGHT_HorizontalPositionRelative","RIGHT_linewhitespace"
1,"GST",919,384,969.9302325581396,412,2,0,"0.3911","0.3706","0.1095","0.1174","0.0068","",,"","0.0000","3508","2480",10,0,,,,,,,"","0.7062","XXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,"TAX",2,986.9069767441861,384,1037.8372093023256,412,"0.4185","0.3979","0.1095","0.1174","0.0068","0.0068",,"","0.1000","3508","2480",10,0,,"0.5000","0.7062"
2,"TAX",986.9069767441861,384,1037.8372093023256,412,2,0,"0.4185","0.3979","0.1095","0.1174","0.0068","0.0068",,"","0.1000","3508","2480",10,0,,,,,,,"0.5000","0.7062","XXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"GST",1,919,384,969.9302325581396,412,"0.3911","0.3706","0.1095","0.1174","0.0068","",,"","0.0000","3508","2480",10,0,,"","0.7062","INVOICE",3,1054.8139534883721,384,1173.6511627906978,412,"0.4732","0.4253","0.1095","0.1174","0.0068","0.0068",,"0.0359","0.2000","3508","2480",10,0,,"0.5000","0.7062"
3,"INVOICE",1054.8139534883721,384,1173.6511627906978,412,2,0,"0.4732","0.4253","0.1095","0.1174","0.0068","0.0068",,"0.0359","0.2000","3508","2480",10,0,,,,,,,"0.5000","0.7062","XXXXXXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"Details",14,1085,538,1182.1860465116279,573,"0.4767","0.4375","0.1534","0.1633","0.1456","0.3282",,"0.0020","0.2000","3508","2480",5,0,,"0.6928","0.7309","TAX",2,986.9069767441861,384,1037.8372093023256,412,"0.4185","0.3979","0.1095","0.1174","0.0068","0.0068",,"","0.1000","3508","2480",10,0,,"0.5000","0.7062","CUM",4,1190.6279069767443,384,1241.5581395348838,412,"0.5006","0.4801","0.1095","0.1174","0.0068","0.0068",,"0.0704","0.3000","3508","2480",10,0,,"0.5000","0.7062"
4,"CUM",1190.6279069767443,384,1241.5581395348838,412,2,0,"0.5006","0.4801","0.1095","0.1174","0.0068","0.0068",,"0.0704","0.3000","3508","2480",10,0,,,,,,,"0.5000","0.7062","XXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"VIKHROLI",38,1088,659,1226.4615384615386,687,"0.4945","0.4387","0.1879","0.1958","0.0070","0.2319","0.0031","0.0034","0.3333","3508","2480",3,0,"0.4783","0.9708","0.7743","INVOICE",3,1054.8139534883721,384,1173.6511627906978,412,"0.4732","0.4253","0.1095","0.1174","0.0068","0.0068",,"0.0359","0.2000","3508","2480",10,0,,"0.5000","0.7062","PACKING",5,1258.5348837209303,384,1377.372093023256,412,"0.5554","0.5075","0.1095","0.1174","0.0068","0.0068",,"0.0359","0.4000","3508","2480",10,0,,"0.5000","0.7062"
5,"PACKING",1258.5348837209303,384,1377.372093023256,412,2,0,"0.5554","0.5075","0.1095","0.1174","0.0068","0.0068",,"0.0359","0.4000","3508","2480",10,0,,,,,,,"0.5000","0.7062","XXXXXXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"Consigner(Despatching",16,1237.7209302325582,538,1529.2790697674418,573,"0.6166","0.4991","0.1534","0.1633","0.0056","0.3898",,"0.0020","0.6000","3508","2480",5,0,,"0.9858","0.7309","CUM",4,1190.6279069767443,384,1241.5581395348838,412,"0.5006","0.4801","0.1095","0.1174","0.0068","0.0068",,"0.0704","0.3000","3508","2480",10,0,,"0.5000","0.7062","LIST",6,1394.3488372093025,384,1462.2558139534885,412,"0.5896","0.5622","0.1095","0.1174","0.0068","0.0068",,"0.0359","0.5000","3508","2480",10,0,,"0.5000","0.7062"
6,"LIST",1394.3488372093025,384,1462.2558139534885,412,2,0,"0.5896","0.5622","0.1095","0.1174","0.0068","0.0068",,"0.0359","0.5000","3508","2480",10,0,,,,,,,"0.5000","0.7062","XXXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"Consigner(Despatching",16,1237.7209302325582,538,1529.2790697674418,573,"0.6166","0.4991","0.1534","0.1633","0.0056","0.3898",,"0.0020","0.6000","3508","2480",5,0,,"0.9858","0.7309","PACKING",5,1258.5348837209303,384,1377.372093023256,412,"0.5554","0.5075","0.1095","0.1174","0.0068","0.0068",,"0.0359","0.4000","3508","2480",10,0,,"0.5000","0.7062","FOR",7,1479.232558139535,384,1530.1627906976746,412,"0.6170","0.5965","0.1095","0.1174","0.0068","0.0068",,"0.0359","0.6000","3508","2480",10,0,,"0.5000","0.7062"
7,"FOR",1479.232558139535,384,1530.1627906976746,412,2,0,"0.6170","0.5965","0.1095","0.1174","0.0068","0.0068",,"0.0359","0.6000","3508","2480",10,0,,,,,,,"0.5000","0.7062","XXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"Consigner(Despatching",16,1237.7209302325582,538,1529.2790697674418,573,"0.6166","0.4991","0.1534","0.1633","0.0056","0.3898",,"0.0020","0.6000","3508","2480",5,0,,"0.9858","0.7309","LIST",6,1394.3488372093025,384,1462.2558139534885,412,"0.5896","0.5622","0.1095","0.1174","0.0068","0.0068",,"0.0359","0.5000","3508","2480",10,0,,"0.5000","0.7062","EXPORT",8,1547.139534883721,384,1649,412,"0.6649","0.6238","0.1095","0.1174","0.0597","0.0068",,"0.0359","0.7000","3508","2480",10,0,,"0.1029","0.7062"
8,"EXPORT",1547.139534883721,384,1649,412,2,0,"0.6649","0.6238","0.1095","0.1174","0.0597","0.0068",,"0.0359","0.7000","3508","2480",10,0,,,,,,,"0.1029","0.7062","XXXXXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"Warehouse)",17,1543.1627906976744,538,1682,573,"0.6782","0.6222","0.1534","0.1633","","0.0056",,"","0.8000","3508","2480",5,0,,"","0.7309","FOR",7,1479.232558139535,384,1530.1627906976746,412,"0.6170","0.5965","0.1095","0.1174","0.0068","0.0068",,"0.0359","0.6000","3508","2480",10,0,,"0.5000","0.7062","Page",9,1797,377,1891.4,424,"0.7627","0.7246","0.1075","0.1209","0.0168","0.0597",,"","0.8000","3508","2480",10,0,,"0.7806","0.7062"
9,"Page",1797,377,1891.4,424,2,0,"0.7627","0.7246","0.1075","0.1209","0.0168","0.0597",,"","0.8000","3508","2480",10,0,,,,,,,"0.7806","0.7062","Xxxx","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"EXPORT",8,1547.139534883721,384,1649,412,"0.6649","0.6238","0.1095","0.1174","0.0597","0.0068",,"0.0359","0.7000","3508","2480",10,0,,"0.1029","0.7062","3",10,1933,384,1956,415,"0.7887","0.7794","0.1095","0.1183","","0.0168",,"","0.9000","3508","2480",10,0,,"","0.7062"
10,"3",1933,384,1956,415,2,0,"0.7887","0.7794","0.1095","0.1183","","0.0168",,"","0.9000","3508","2480",10,0,,,,,,,"","0.7062","0","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_3.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,"Page",9,1797,377,1891.4,424,"0.7627","0.7246","0.1075","0.1209","0.0168","0.0597",,"","0.8000","3508","2480",10,0,,"0.7806","0.7062",,,,,,,,,,,"",,,,,,,,,,,
